chr pos
I_10889371 1 388169.776870329
I_10975081 1 388170.073155977
I_10979908 1 388170.369546019
I_10984894 1 388170.369546069
I_11069508 1 388170.665300308
I_11070812 1 388170.665300358
I_11071761 1 388170.665300408
I_11072403 1 388171.176874689
I_11073890 1 388171.68916941
I_11074535 1 388172.199244713
I_11075815 1 388172.712475066
I_11083960 1 388173.034476122
I_11095723 1 388173.558865603
I_11098118 1 388173.87539401
I_11102360 1 388173.87539406
I_11382464 1 388174.380051993
I_11460182 1 388176.545822651
I_11544368 1 388177.516622292
I_11546369 1 388178.027466065
I_11637287 1 388178.474289362
I_11643241 1 388178.987503142
I_11718811 1 388179.500381262
I_11854321 1 388180.0132594
I_11892602 1 388180.526137537
I_11976940 1 388181.039029098
I_12114811 1 388181.551867116
I_12121759 1 388181.551867166
I_12132787 1 388181.551867216
I_12140780 1 388181.551867266
I_12177001 1 388181.551867316
I_12249326 1 388182.064705333
I_12292455 1 388182.577596895
I_12309812 1 388183.090475032
I_12346743 1 388183.603353169
I_12351886 1 388184.116244729
I_12410560 1 388184.629083024
I_12411707 1 388184.629083074
I_12421701 1 388184.629083124
I_12444337 1 388185.141934839
I_12480346 1 388185.654786554
I_12482644 1 388185.654786604
I_12554690 1 388185.654786654
I_12596736 1 388186.167624909
I_12603890 1 388186.681572452
I_12603917 1 388186.986310467
I_12604328 1 388187.50063367
I_12604455 1 388187.80537164
I_12606111 1 388188.319308823
I_12622067 1 388188.831557873
I_12632850 1 388189.344452627
I_12697278 1 388189.857290921
I_12698908 1 388189.857290971
I_12727897 1 388189.857291021
I_12792804 1 388190.370116577
I_12796203 1 388190.370116627
I_12822476 1 388190.370116677
I_12827866 1 388190.884030844
I_12840544 1 388191.185474733
I_12844641 1 388191.701998913
I_12873260 1 388191.701998963
I_12882388 1 388191.701999013
I_12920015 1 388191.701999063
I_12959222 1 388191.701999113
I_12968922 1 388192.001249508
I_12970958 1 388192.515227868
I_13002473 1 388193.028112248
I_13032419 1 388193.539723592
I_13056347 1 388194.049908132
I_13122792 1 388195.097372135
I_13173972 1 388195.605339234
I_13261575 1 388195.605339284
I_13288165 1 388195.605339334
I_13290892 1 388195.907013488
I_13294061 1 388195.907013538
I_13320623 1 388196.206089337
I_13320818 1 388196.72006868
I_13320972 1 388197.233279162
I_13321281 1 388197.68011924
I_13322357 1 388198.190333085
I_13322634 1 388199.170669423
I_13330418 1 388199.469765506
I_13331124 1 388199.984113409
I_13350920 1 388200.286599841
I_13362517 1 388200.286599891
I_13372498 1 388200.286599941
I_13374285 1 388200.7994513
I_13378758 1 388201.312342793
I_13460670 1 388201.825217734
I_13463013 1 388202.338095888
I_13467890 1 388202.850974026
I_13483062 1 388203.363852164
I_13513344 1 388203.876730285
I_13519947 1 388204.389621845
I_13556032 1 388204.90246014
I_13557252 1 388204.90246019
I_13599248 1 388204.90246024
I_13623148 1 388205.415298535
I_13660490 1 388205.928190095
I_13739770 1 388206.441068232
I_13747304 1 388206.953946494
I_13825900 1 388207.464493941
I_13826497 1 388208.441083056
I_13828748 1 388208.441083106
I_13926061 1 388209.415203648
I_13934534 1 388209.415203698
I_13945632 1 388209.415203748
I_13955824 1 388209.928055651
I_13962802 1 388210.440907087
I_13964891 1 388210.440907137
I_13978539 1 388210.440907187
I_13994552 1 388210.440907237
I_14001365 1 388210.440907287
I_14003000 1 388210.953745449
I_14034889 1 388211.46393711
I_14141722 1 388212.511376696
I_14205773 1 388213.021554934
I_14304620 1 388213.534433216
I_14356826 1 388214.047311354
I_14425936 1 388214.560189492
I_14458266 1 388215.073067629
I_14620364 1 388215.585959191
I_14666197 1 388216.098797208
I_14669849 1 388216.098797258
I_14719705 1 388216.098797308
I_14723437 1 388216.098797358
I_14817762 1 388216.098797408
I_14969701 1 388216.611622419
I_14972886 1 388216.611622469
I_15092362 1 388216.611622519
I_15505755 1 388216.611622569
I_15509505 1 388216.871256583
II_566445 2 11400.3274565688
II_596706 2 11400.5871168787
II_648200 2 11401.0999685958
II_649257 2 11401.0999686458
II_747075 2 11401.0999686958
II_864459 2 11401.6128071335
II_895711 2 11402.1230257764
II_939575 2 11403.1676977953
II_1020483 2 11403.1676978453
II_1023349 2 11403.6806472628
II_1037166 2 11404.1934983481
II_1038195 2 11404.1934983981
II_1180337 2 11404.1934984481
II_1264584 2 11404.7040094805
II_1293589 2 11405.6799941797
II_1296554 2 11405.6799942297
II_1358633 2 11406.1264005351
II_1369647 2 11406.6396445273
II_1374036 2 11406.6396445773
II_1434019 2 11406.6396446273
II_1434086 2 11406.6396446773
II_1533667 2 11407.1470816954
II_2249065 2 11408.7436166299
II_2369899 2 11409.7854808582
II_2381607 2 11410.2956596971
II_2458452 2 11410.808551401
II_2507200 2 11411.3213896959
II_2508122 2 11411.3213897459
II_2588428 2 11411.3213897959
II_2673389 2 11411.8342280909
II_2719844 2 11412.3471196506
II_2834289 2 11412.8599977878
II_2976845 2 11413.3728760678
II_3219941 2 11413.8833900912
II_3220328 2 11414.863405947
II_3220642 2 11415.3715486453
II_3409283 2 11416.3515645011
II_3958023 2 11416.8620785276
II_4106267 2 11417.3748996733
II_4172909 2 11417.8989743063
II_4297372 2 11418.4203476879
II_4868879 2 11419.4677426075
II_4924682 2 11419.9778810245
II_4933529 2 11419.9778810746
II_4934624 2 11419.9778811245
II_4935704 2 11419.9778811745
II_4935767 2 11419.9778812245
II_5109111 2 11419.9778812745
II_5231409 2 11420.4907192834
II_5505835 2 11421.0036107851
II_7268612 2 11421.5176095375
II_7270956 2 11421.8128800507
II_7271094 2 11421.8128801007
II_8103197 2 11422.1092526493
II_8103469 2 11422.1092526993
II_8107876 2 11422.1092527493
II_8108083 2 11422.1092527993
II_9443230 2 11423.1537955327
II_10157747 2 11423.6640014865
II_10263444 2 11424.1768766105
II_10519513 2 11424.6897547638
II_10564483 2 11425.202632901
II_11082740 2 11425.7155110937
II_11237438 2 11426.2283782601
II_11290729 2 11426.7423570202
II_11292943 2 11427.0415580909
II_11293176 2 11427.0415581409
II_11628639 2 11427.3407668292
II_11738428 2 11427.8547589206
II_11842801 2 11428.3675968791
II_11843051 2 11428.3675969291
II_11862748 2 11428.3675969791
II_11865782 2 11428.3675970291
II_11882803 2 11428.3675970791
II_12096010 2 11428.8804223611
II_12098763 2 11428.8804224111
II_12189090 2 11428.8804224611
II_12304538 2 11429.3932741772
II_12551171 2 11429.9061256148
II_12562034 2 11429.9061256648
II_12637785 2 11429.9061257148
II_12644109 2 11429.9061257648
II_12768774 2 11429.9061258148
II_12776806 2 11429.9061258648
II_12945866 2 11429.9061259148
II_12947235 2 11429.9061259648
II_13083593 2 11429.9061260148
II_13115387 2 11430.2096542346
II_13115492 2 11430.5164808663
II_13115690 2 11430.8199943241
II_13203789 2 11431.1257751802
II_13405486 2 11431.6396859128
II_13408780 2 11431.6396859628
II_13415785 2 11431.6396860128
II_13422912 2 11431.6396860628
II_13435785 2 11431.6396861128
II_13457163 2 11432.1536265454
II_13466934 2 11432.4525167144
II_13485375 2 11432.4525167644
II_13489525 2 11432.4525168144
II_13513434 2 11432.4525168644
II_13542930 2 11432.4525169144
II_13545303 2 11432.4525169644
II_13573751 2 11432.4525170144
II_13577868 2 11432.4525170644
II_13589798 2 11432.7461885123
II_13601835 2 11433.2602635284
II_13608536 2 11433.2602635784
II_13645530 2 11433.2602636284
II_13646696 2 11433.2602636784
II_13649194 2 11433.7758251795
II_13680422 2 11433.7758252295
II_13715544 2 11433.7758252795
II_13732464 2 11433.7758253295
II_13753449 2 11433.7758253795
II_13772514 2 11433.7758254295
II_13778283 2 11434.2913869337
II_13782942 2 11434.2913869837
II_13792863 2 11434.2913870337
II_13805516 2 11434.2913870837
II_13822901 2 11434.2913871337
II_13861750 2 11434.2913871837
II_13863109 2 11434.2913872337
II_13870844 2 11434.8042392853
II_13899979 2 11435.3182066517
II_13901658 2 11435.6196593845
II_13918628 2 11436.1346554376
II_13951718 2 11436.4365316332
II_13952710 2 11436.4365316832
II_13971565 2 11436.4365317332
II_13997906 2 11436.4365317832
II_14068694 2 11436.4365318332
II_14076431 2 11436.7348997251
II_14089249 2 11437.2499386828
II_14126537 2 11437.548936001
II_14136022 2 11437.548936051
II_14136350 2 11437.548936101
II_14154190 2 11437.548936151
II_14181389 2 11437.548936201
II_14218918 2 11438.5906411208
II_14221910 2 11438.5906411708
II_14222413 2 11438.5906412207
II_14222895 2 11438.8941867269
II_14222968 2 11439.197740564
II_14224935 2 11439.5012952117
II_14230660 2 11439.804839684
II_14232178 2 11439.804839734
II_14237689 2 11439.804839784
II_14266206 2 11439.804839834
II_14293182 2 11439.804839884
II_14299276 2 11439.804839934
II_14299581 2 11439.804839984
II_14313281 2 11440.3176946482
II_14320707 2 11440.829910906
II_14322813 2 11440.829910956
II_14338485 2 11440.829911006
II_14343778 2 11441.3421014522
II_14348754 2 11441.3421015022
II_14369367 2 11441.3421015522
II_14373750 2 11442.386322367
II_14374218 2 11442.8965266674
II_14380343 2 11443.4094199084
II_14380943 2 11443.9219455147
II_14383239 2 11443.9219455647
II_14390299 2 11443.9219456147
II_14391979 2 11443.9219456647
II_14439276 2 11443.9219457147
II_14441863 2 11444.4347847369
II_14447997 2 11444.9288487213
II_14449234 2 11445.2219893445
II_14449740 2 11448.5562916078
II_14450148 2 11448.8462025032
II_14452587 2 11449.9826394084
II_14455944 2 11451.128273028
II_14469732 2 11451.429807666
II_14476034 2 11451.9441311369
II_14477246 2 11452.2498926454
II_14479368 2 11452.5556604979
II_14489880 2 11453.0699838898
II_14489971 2 11453.3720238661
II_14545275 2 11454.4205455982
II_14551456 2 11454.9317829441
II_14552966 2 11455.2375504912
II_14555854 2 11455.5410644068
II_14557081 2 11455.8478876646
II_14577675 2 11456.1514164734
II_14592053 2 11456.1514165234
II_14646517 2 11456.1514165734
II_14656741 2 11456.6642354139
II_14794089 2 11456.6642354639
II_14794090 2 11456.6642355139
II_14797356 2 11456.6642355639
II_14840354 2 11457.1771039002
II_14843019 2 11457.1771039502
II_14862079 2 11457.6900211101
II_14894913 2 11457.6900211601
II_14896372 2 11457.9904119845
II_14896556 2 11458.9724439417
II_14902282 2 11459.2694059243
II_14908920 2 11460.2477779375
II_14927668 2 11461.289909632
II_14930594 2 11461.289909682
II_14965776 2 11461.289909732
II_14972597 2 11461.5934389865
II_14978333 2 11461.900265441
II_14981361 2 11462.2037797049
II_15004179 2 11462.5095471607
II_15025067 2 11463.0234948293
II_15040270 2 11463.536332872
II_15126192 2 11463.536332922
II_15138342 2 11463.536332972
II_15139275 2 11463.536333022
II_15140368 2 11463.536333072
II_15151211 2 11464.0502878346
II_15154221 2 11464.3456747148
II_15155006 2 11464.3456747648
II_15172051 2 11464.6421753957
II_15182081 2 11464.6421754457
II_15313965 2 11465.1547240023
II_15314153 2 11465.1547240523
II_15337682 2 11465.1547241023
II_15362687 2 11466.1962329221
II_15376726 2 11466.1962329721
II_15407251 2 11466.7091545763
II_15413157 2 11466.7091546263
II_15419013 2 11466.7091546763
II_15426071 2 11466.7091547263
II_15468795 2 11466.7091547763
II_15492684 2 11467.2219940186
II_15544281 2 11467.2219940686
II_15589179 2 11467.2219941186
II_15594418 2 11467.2219941686
II_15617786 2 11467.2219942186
II_15622868 2 11467.2219942686
II_15658563 2 11467.2219943186
II_15667949 2 11467.2219943686
II_15680968 2 11467.2219944186
II_15681643 2 11467.2219944686
II_15704876 2 11467.2219945186
II_15740107 2 11467.7359539993
II_15750341 2 11468.0311094514
II_15758438 2 11468.0311095014
II_15796785 2 11468.0311095514
II_15797620 2 11468.0311096014
II_15813585 2 11468.0311096514
II_15819727 2 11468.0311097014
II_15829700 2 11468.0311097514
II_15835263 2 11468.0311098014
II_15880573 2 11468.0311098514
II_15883246 2 11468.0311099014
II_15905353 2 11468.0311099514
II_15909536 2 11468.0311100014
II_15918261 2 11468.0311100514
II_15921250 2 11468.0311101014
II_15962263 2 11468.0311101514
II_15976075 2 11468.0311102014
II_15996633 2 11468.0311102514
II_16001513 2 11468.0311103014
II_16058057 2 11468.0311103514
II_16059661 2 11468.0311104014
II_16105861 2 11468.3273678422
II_16107197 2 11468.3273678922
II_16120453 2 11468.3273679422
II_16128711 2 11468.3273679922
II_16159908 2 11468.3273680422
II_16259525 2 11468.8402195475
II_16282543 2 11469.3530711752
II_16299504 2 11469.3530712252
II_16444730 2 11469.3530712752
II_16451946 2 11469.6494431102
II_16454709 2 11469.6494431602
II_16566442 2 11469.9447261314
II_16571409 2 11470.2054880193
III_627126 3 627126
III_627645 3 627126.00000005
III_716441 3 627126.0000001
III_921457 3 627126.512912643
III_983903 3 627127.025803794
III_1046902 3 627127.538681931
III_1062222 3 627128.051560066
III_1112349 3 627128.567042113
III_1160417 3 627128.56704217
III_1167459 3 627128.56704222
III_1310459 3 627129.077236565
III_1348762 3 627129.590158184
III_1349561 3 627130.102364232
III_1352760 3 627130.102364282
III_1353182 3 627130.102364332
III_1365585 3 627130.614570381
III_1407559 3 627131.127478573
III_1531566 3 627131.640316868
III_1534560 3 627131.640316917
III_1567598 3 627131.640316968
III_1627975 3 627132.153155262
III_1645958 3 627132.666046822
III_1836246 3 627133.178924959
III_1884820 3 627133.691803097
III_1935798 3 627134.204694658
III_1985755 3 627134.717532675
III_1986247 3 627134.717532725
III_2017002 3 627134.717532775
III_2020243 3 627134.717532825
III_2021742 3 627134.717532875
III_2031404 3 627134.717532925
III_2041457 3 627134.717532975
III_2074216 3 627134.717533025
III_2076996 3 627134.717533075
III_2085093 3 627134.717533125
III_2085954 3 627134.717533175
III_2105799 3 627134.717533225
III_2110353 3 627135.230371243
III_2152789 3 627135.743262747
III_2168232 3 627136.2572167
III_2183208 3 627136.558681265
III_2188579 3 627137.073674006
III_2223078 3 627137.376188274
III_2224595 3 627137.376188324
III_2236691 3 627137.376188374
III_2241496 3 627137.376188424
III_2241663 3 627137.376188474
III_2246113 3 627137.376188524
III_2308850 3 627137.376188574
III_2311986 3 627137.376188624
III_2332365 3 627137.376188674
III_2372733 3 627137.376188724
III_2383587 3 627137.376188774
III_2393074 3 627137.376188824
III_2427266 3 627137.376188874
III_2471274 3 627137.376188924
III_2477667 3 627137.672675528
III_2479914 3 627137.672675578
III_2499149 3 627137.968063961
III_2500557 3 627138.481436499
III_2501874 3 627138.993658779
III_2513101 3 627138.993658829
III_2516275 3 627138.993658879
III_2521457 3 627139.505881218
III_2524624 3 627140.01814711
III_2526391 3 627140.530988389
III_2549448 3 627140.530988439
III_2593799 3 627140.530988489
III_2594610 3 627140.530988539
III_2614472 3 627140.530988589
III_2617400 3 627140.530988639
III_2622842 3 627141.043826724
III_2661883 3 627141.556718284
III_2677604 3 627142.069609843
III_2703514 3 627142.582448138
III_2741621 3 627142.582448188
III_2748099 3 627142.582448238
III_2836561 3 627143.096362407
III_2844505 3 627143.397806173
III_2848172 3 627143.914330315
III_2848173 3 627143.914330365
III_2901574 3 627143.914330415
III_2919020 3 627144.213565199
III_2931251 3 627144.7275433
III_2962749 3 627145.243077621
III_2965167 3 627145.243077671
III_2971077 3 627145.757059084
III_2971442 3 627146.058514879
III_2976690 3 627146.573484074
III_2984388 3 627146.878188275
III_2989907 3 627147.392085609
III_3002631 3 627147.392085659
III_3011454 3 627147.392085709
III_3012141 3 627147.392085759
III_3026675 3 627147.907527812
III_3031443 3 627147.907527862
III_3056294 3 627147.907527912
III_3219913 3 627148.417745869
III_3238184 3 627148.930610958
III_3253268 3 627148.930611008
III_3291621 3 627148.930611058
III_3376644 3 627149.443462775
III_3537343 3 627149.956314213
III_3544767 3 627149.956314263
III_3563774 3 627149.956314313
III_3566661 3 627149.956314363
III_3575434 3 627149.956314413
III_3614641 3 627150.469152387
III_3634575 3 627150.983142003
III_3636365 3 627151.282216937
III_3636635 3 627151.282216987
III_3651837 3 627151.581291884
III_3690834 3 627152.09526801
III_3718496 3 627152.608159527
III_3720049 3 627153.120997783
III_3723598 3 627153.120997833
III_3862425 3 627153.120997883
III_3899307 3 627153.633836244
III_3902911 3 627154.146741159
III_3933378 3 627154.659592518
III_3938197 3 627154.659592568
III_4013034 3 627154.659592618
III_4020398 3 627154.659592668
III_4020399 3 627154.659592718
III_4079215 3 627154.659592768
III_4087417 3 627154.955836821
III_4191288 3 627154.955836871
III_4217312 3 627154.955836921
III_4426456 3 627154.955836971
III_4445021 3 627154.955837021
III_4630515 3 627154.955837071
III_4631297 3 627154.955837121
III_4684648 3 627154.955837171
III_4687925 3 627154.955837221
III_4791837 3 627154.955837271
III_4809736 3 627154.955837855
III_5100520 3 627154.955837905
III_6863619 3 627155.251006587
III_8532900 3 627155.764965723
III_8547935 3 627155.764965773
III_9499432 3 627155.764965823
III_9501714 3 627155.764965873
III_9520859 3 627155.764965923
III_9620552 3 627155.764965973
III_9630542 3 627155.764966023
III_9784229 3 627155.764966073
III_9898826 3 627156.277791355
III_9924393 3 627156.277791405
III_9998374 3 627156.277791455
III_10008655 3 627156.277791505
III_10372606 3 627156.277791555
III_10588096 3 627156.791730854
III_10595663 3 627157.090835598
III_10597391 3 627157.090835648
III_10945626 3 627157.391016141
III_10947092 3 627157.691090223
III_10972909 3 627157.691090273
III_10989848 3 627157.990072725
III_10998900 3 627158.50404936
III_11081739 3 627159.016927455
III_11100388 3 627159.529805592
III_11217618 3 627160.042697153
III_11228179 3 627160.555535447
III_11236739 3 627160.555535497
III_11333845 3 627160.555535547
III_11340043 3 627160.555535597
III_11573988 3 627160.555535647
III_11587433 3 627160.555535697
III_11618204 3 627160.555535747
III_11719953 3 627161.068387462
III_11721173 3 627161.581238967
III_11729893 3 627161.581239017
III_11853945 3 627161.581239067
III_11860259 3 627161.581239117
III_11898153 3 627161.581239167
III_11976981 3 627161.581239217
III_11978179 3 627161.581239267
III_11996492 3 627161.581239317
III_11999278 3 627161.581239367
III_12019503 3 627161.581239417
III_12021201 3 627161.884767641
III_12021238 3 627162.191594038
III_12026200 3 627162.4951075
III_12064333 3 627162.800874943
III_12090790 3 627163.314812378
III_12097587 3 627163.827700708
III_12128882 3 627164.340538808
III_12142033 3 627164.340538858
III_12148621 3 627164.340538908
III_12156891 3 627164.340538958
III_12190350 3 627164.340539008
III_12222734 3 627164.340539058
III_12276140 3 627164.340539108
III_12284091 3 627164.340539158
III_12289386 3 627164.340539208
III_12303913 3 627164.853373883
III_12315988 3 627165.366278884
III_12382033 3 627165.879116902
III_12413300 3 627165.879116952
III_12488845 3 627165.879117002
III_12490001 3 627166.391299948
III_12493742 3 627166.391299998
III_12496493 3 627166.391300048
III_12514362 3 627166.391300098
III_12525955 3 627166.391300148
III_12541487 3 627166.391300198
III_12545485 3 627166.391300248
III_12561352 3 627166.391300298
III_12565691 3 627166.904157889
III_12569734 3 627167.415784765
III_12575989 3 627167.929725157
III_12576325 3 627168.234463336
III_12577993 3 627168.748786528
III_12582778 3 627169.053541249
III_12589660 3 627169.566802816
III_12602882 3 627169.566802866
III_12633967 3 627169.566802916
III_12650006 3 627169.566802966
III_12657095 3 627169.566803016
III_12662343 3 627170.07838679
III_12662344 3 627170.591244817
III_12665177 3 627170.591244867
III_12668091 3 627171.103438171
III_12680363 3 627171.103438221
III_12681079 3 627171.103438271
III_12696427 3 627171.103438321
III_12735171 3 627171.103438371
III_12750712 3 627171.616276829
III_12759709 3 627171.616276879
III_12777080 3 627171.616276929
III_12798202 3 627171.616276979
III_12802761 3 627171.616277029
III_12816686 3 627171.918791876
III_12818385 3 627172.433771443
III_12827680 3 627172.735236628
III_12837222 3 627173.249150685
III_12840463 3 627173.249150735
III_12846215 3 627173.249150785
III_12852069 3 627173.762018884
III_12855976 3 627174.274238301
III_12857288 3 627174.27423835
III_12868555 3 627174.274238401
III_12868721 3 627174.787520136
III_12892879 3 627175.0890014
III_12895052 3 627175.603994138
III_12918352 3 627175.90650863
III_12927053 3 627175.90650868
III_12933922 3 627175.90650873
III_12941014 3 627175.90650878
III_12954813 3 627175.90650883
III_12964421 3 627175.90650888
III_12970698 3 627176.420438741
III_12981790 3 627176.721348275
III_12999988 3 627176.721348325
III_13000735 3 627176.721348375
III_13004458 3 627177.02970525
III_13004646 3 627177.333193
III_13031162 3 627177.638974108
III_13049911 3 627178.152871292
III_13051792 3 627178.152871341
III_13057765 3 627178.152871392
III_13087297 3 627178.152871441
III_13106078 3 627178.152871492
III_13116105 3 627178.152871541
III_13144020 3 627178.665696889
III_13148879 3 627178.665696939
III_13158920 3 627178.665696989
III_13160255 3 627179.177887181
III_13160527 3 627179.177887231
III_13165833 3 627179.177887281
III_13176832 3 627179.690090594
III_13183431 3 627179.690090643
III_13196261 3 627179.690090694
III_13211327 3 627180.2040408
III_13219381 3 627180.500414659
III_13252480 3 627180.500414709
III_13255893 3 627180.500414759
III_13264721 3 627181.016960871
III_13267943 3 627181.315940549
III_13272509 3 627181.315940599
III_13282360 3 627181.315940649
III_13289738 3 627181.315940699
III_13299228 3 627181.315940749
III_13302432 3 627181.315940799
III_13324872 3 627181.828765698
III_13396185 3 627181.828765748
III_13403293 3 627181.828765798
III_13407677 3 627181.828765848
III_13411703 3 627181.828765898
III_13418099 3 627181.828765948
III_13428338 3 627181.828765998
III_13441246 3 627181.828766048
III_13452728 3 627181.828766098
III_13454786 3 627181.828766148
III_13462053 3 627181.828766198
III_13464865 3 627182.275202535
III_13470082 3 627182.786091325
III_13480278 3 627183.761803621
III_13486028 3 627183.761803671
III_13491697 3 627183.761803721
III_13504389 3 627183.761803771
III_13514304 3 627183.761803821
III_13517806 3 627184.065056239
III_13518432 3 627184.368586501
III_13522241 3 627184.672137202
III_13528359 3 627184.975681384
III_13539196 3 627184.975681435
III_13546287 3 627184.975681484
III_13556173 3 627184.975681535
III_13576694 3 627184.975681584
III_13590711 3 627184.975681635
III_13591932 3 627185.48850347
III_13598558 3 627185.48850352
III_13607806 3 627185.48850357
III_13615761 3 627185.48850362
III_13619642 3 627185.48850367
III_13697187 3 627186.001355124
III_13711059 3 627186.514208937
III_13756574 3 627186.514208987
III_13756869 3 627186.816734814
III_13765378 3 627187.331727414
III_13769911 3 627187.633195763
III_13803331 3 627188.147162756
III_13817381 3 627188.66005604
III_13817757 3 627188.66005609
III_13831363 3 627189.172949005
III_13837774 3 627189.172949055
III_13855735 3 627189.172949105
III_13864610 3 627189.685139287
III_13893695 3 627189.685139337
III_13898178 3 627189.685139387
III_13903082 3 627189.685139437
III_13918604 3 627189.685139487
III_13924147 3 627189.685139537
III_13925028 3 627189.685139587
III_13929826 3 627190.196694117
