OG0003590: CBRIG.QX1410.4355.1 CELEG.4R79.1a CINOP.Sp34_40219410.t1 CNIGO.Cni-nas-6
OG0003611: CBRIG.QX1410.2389.1 CELEG.B0024.13 CINOP.Sp34_50287800.t1 CNIGO.Cni-B0024.13
OG0003612: CBRIG.QX1410.2388.2 CELEG.B0024.14b CINOP.Sp34_50287900.t1 CNIGO.Cni-crm-1.1
OG0003613: CBRIG.QX1410.2399.2 CELEG.B0024.15 CINOP.Sp34_50286620.t1 CNIGO.Cni-B0024.15
OG0003614: CBRIG.QX1410.2393.1 CELEG.B0024.9a CINOP.Sp34_50287400.t1 CNIGO.Cni-trx-2.1
OG0003615: CBRIG.QX1410.13609.2 CELEG.B0025.1a CINOP.Sp34_10235600.t1 CNIGO.Cni-vps-34.1
OG0003617: CBRIG.QX1410.13608.1 CELEG.B0025.4 CINOP.Sp34_10235520.t1 CNIGO.Cni-B0025.4
OG0003618: CBRIG.QX1410.13607.1 CELEG.B0025.5 CINOP.Sp34_10235400.t1 CNIGO.Cni-B0025.5.1
OG0003619: CBRIG.QX1410.11869.3 CELEG.B0034.1 CINOP.Sp34_20121200.t1 CNIGO.Cni-B0034.1
OG0003620: CBRIG.QX1410.11871.1 CELEG.B0034.3a CINOP.Sp34_20120900.t1 CNIGO.Cni-casy-1
OG0003621: CBRIG.QX1410.11868.1 CELEG.B0034.5 CINOP.Sp34_20121300.t1 CNIGO.Cni-B0034.5.1
OG0003622: CBRIG.QX1410.11870.1 CELEG.B0034.7 CINOP.Sp34_20121000.t1 CNIGO.Cni-B0034.7
OG0003623: CBRIG.QX1410.5769.1 CELEG.B0035.12 CINOP.Sp34_40320000.t1 CNIGO.Cni-sart-3
OG0003624: CBRIG.QX1410.5757.3 CELEG.B0035.15 CINOP.Sp34_40318300.t1 CNIGO.Cni-B0035.15.1
OG0003625: CBRIG.QX1410.5756.2 CELEG.B0035.16 CINOP.Sp34_40318200.t1 CNIGO.Cni-mttu-1
OG0003626: CBRIG.QX1410.5762.1 CELEG.B0035.1b CINOP.Sp34_40318800.t1 CNIGO.Cni-B0035.1
OG0003627: CBRIG.QX1410.5764.1 CELEG.B0035.3 CINOP.Sp34_40319000.t1 CNIGO.Cni-B0035.3
OG0003628: CBRIG.QX1410.5765.1 CELEG.B0035.4 CINOP.Sp34_40319100.t1 CNIGO.Cni-pfd-4
OG0003629: CBRIG.QX1410.5766.1 CELEG.B0035.5 CINOP.Sp34_40319300.t1 CNIGO.Cni-gspd-1.1
OG0003630: CBRIG.QX1410.13712.1 CELEG.B0041.2d CINOP.Sp34_10308300.t1 CNIGO.Cni-ain-2.1
OG0003631: CBRIG.QX1410.13717.2 CELEG.B0041.3 CINOP.Sp34_10308800.t1 CNIGO.Cni-lmd-2.1
OG0003632: CBRIG.QX1410.13716.1 CELEG.B0041.4 CINOP.Sp34_10308700.t1 CNIGO.Cni-rpl-4
OG0003633: CBRIG.QX1410.13714.1 CELEG.B0041.5a CINOP.Sp34_10308500.t1 CNIGO.Cni-B0041.5.1
OG0003634: CBRIG.QX1410.13713.1 CELEG.B0041.6a CINOP.Sp34_10308400.t1 CNIGO.Cni-ptps-1
OG0003635: CBRIG.QX1410.13759.2 CELEG.B0041.7 CINOP.Sp34_10308200.t1 CNIGO.Cni-xnp-1
OG0003636: CBRIG.QX1410.13715.1 CELEG.B0041.8 CINOP.Sp34_10308600.t1 CNIGO.Cni-B0041.8.1
OG0003637: CBRIG.QX1410.16540.1 CELEG.B0198.1 CINOP.Sp34_X0050400.t1 CNIGO.Cni-tsp-20.1
OG0003638: CBRIG.QX1410.16541.1 CELEG.B0198.2b CINOP.Sp34_X0050500.t1 CNIGO.Cni-B0198.2
OG0003639: CBRIG.QX1410.15368.1 CELEG.B0205.11 CINOP.Sp34_10345200.t1 CNIGO.Cni-mrpl-9
OG0003640: CBRIG.QX1410.15367.1 CELEG.B0205.3 CINOP.Sp34_10345100.t1 CNIGO.Cni-rpn-10.1
OG0003641: CBRIG.QX1410.15371.2 CELEG.B0205.4 CINOP.Sp34_10345500.t1 CNIGO.Cni-B0205.4
OG0003642: CBRIG.QX1410.15370.2 CELEG.B0205.6 CINOP.Sp34_10345400.t1 CNIGO.Cni-B0205.6.1
OG0003643: CBRIG.QX1410.15369.1 CELEG.B0205.7 CINOP.Sp34_10345300.t1 CNIGO.Cni-kin-3.1
OG0003644: CBRIG.QX1410.15366.1 CELEG.B0205.8 CINOP.Sp34_10345000.t1 CNIGO.Cni-B0205.8
OG0003645: CBRIG.QX1410.14062.1 CELEG.B0207.10 CINOP.Sp34_10286900.t1 CNIGO.Cni-B0207.10
OG0003646: CBRIG.QX1410.14160.1 CELEG.B0207.12b CINOP.Sp34_10287700.t1 CNIGO.Cni-avr-14.1
OG0003647: CBRIG.QX1410.14064.1 CELEG.B0207.2 CINOP.Sp34_10293200.t1 CNIGO.Cni-B0207.2.2
OG0003648: CBRIG.QX1410.14066.2 CELEG.B0207.3 CINOP.Sp34_10293500.t1 CNIGO.Cni-gpa-14
OG0003649: CBRIG.QX1410.14067.1 CELEG.B0207.4 CINOP.Sp34_10293700.t1 CNIGO.Cni-air-2
OG0003650: CBRIG.QX1410.14069.1 CELEG.B0207.5b CINOP.Sp34_10293920.t1 CNIGO.Cni-B0207.5
OG0003651: CBRIG.QX1410.14068.1 CELEG.B0207.6 CINOP.Sp34_10293800.t1 CNIGO.Cni-B0207.6.1
OG0003652: CBRIG.QX1410.14065.1 CELEG.B0207.7 CINOP.Sp34_10293400.t1 CNIGO.Cni-B0207.7
OG0003653: CBRIG.QX1410.14063.1 CELEG.B0207.9 CINOP.Sp34_10293100.t1 CNIGO.Cni-B0207.9
OG0003654: CBRIG.QX1410.6666.1 CELEG.B0212.1b CINOP.Sp34_40083800.t1 CNIGO.Cni-otpl-1.1
OG0003655: CBRIG.QX1410.4916.1 CELEG.B0212.5 CINOP.Sp34_40252100.t1 CNIGO.Cni-osm-9.1
OG0003656: CBRIG.QX1410.6409.1 CELEG.B0218.1 CINOP.Sp34_40110220.t1 CNIGO.Cni-faah-1
OG0003657: CBRIG.QX1410.6410.1 CELEG.B0218.2 CINOP.Sp34_40110000.t1 CNIGO.Cni-faah-2
OG0003658: CBRIG.QX1410.7641.1 CELEG.B0218.7 CINOP.Sp34_30295200.t1 CNIGO.Cni-B0218.7
OG0003659: CBRIG.QX1410.2938.1 CELEG.B0222.1 CINOP.Sp34_50237100.t1 CNIGO.Cni-B0222.1.1
OG0003660: CBRIG.QX1410.2948.1 CELEG.B0222.11 CINOP.Sp34_50239720.t1 CNIGO.Cni-B0222.11.2
OG0003661: CBRIG.QX1410.2941.1 CELEG.B0222.4 CINOP.Sp34_50237400.t1 CNIGO.Cni-tag-38
OG0003662: CBRIG.QX1410.11206.1 CELEG.B0228.1 CINOP.Sp34_20143700.t1 CNIGO.Cni-B0228.1
OG0003663: CBRIG.QX1410.11203.4 CELEG.B0228.4c CINOP.Sp34_20143420.t1 CNIGO.Cnig_chr_II.g5426
OG0003664: CBRIG.QX1410.11204.1 CELEG.B0228.5a CINOP.Sp34_20143500.t1 CNIGO.Cni-trx-1
OG0003665: CBRIG.QX1410.11205.1 CELEG.B0228.6 CINOP.Sp34_20143600.t1 CNIGO.Cni-B0228.6
OG0003666: CBRIG.QX1410.11209.1 CELEG.B0228.9 CINOP.Sp34_20143900.t1 CNIGO.Cni-B0228.9
OG0003667: CBRIG.QX1410.1684.1 CELEG.B0238.10 CINOP.Sp34_50191800.t1 CNIGO.Cni-natc-2
OG0003668: CBRIG.QX1410.1686.2 CELEG.B0238.11 CINOP.Sp34_50191700.t1 CNIGO.Cni-B0238.11.1
OG0003669: CBRIG.QX1410.1683.2 CELEG.B0238.9 CINOP.Sp34_50191900.t1 CNIGO.Cni-B0238.9
OG0003670: CBRIG.QX1410.2064.1 CELEG.B0240.1 CINOP.Sp34_50149800.t1 CNIGO.Cni-rhr-2.1
OG0003671: CBRIG.QX1410.2066.1 CELEG.B0240.2 CINOP.Sp34_50149710.t1 CNIGO.Cni-spe-42
OG0003672: CBRIG.QX1410.2065.1 CELEG.B0240.4 CINOP.Sp34_50149720.t1 CNIGO.Cni-npp-22
OG0003673: CBRIG.QX1410.7988.1 CELEG.B0244.2 CINOP.Sp34_30138200.t1 CNIGO.Cni-ida-1.3
OG0003675: CBRIG.QX1410.4224.1 CELEG.B0250.1 CINOP.Sp34_50402800.t1 CNIGO.Cni-rpl-2
OG0003676: CBRIG.QX1410.4223.1 CELEG.B0250.2 CINOP.Sp34_50402700.t1 CNIGO.Cni-calf-1
OG0003677: CBRIG.QX1410.4228.2 CELEG.B0250.5 CINOP.Sp34_50403000.t1 CNIGO.Cni-B0250.5
OG0003678: CBRIG.QX1410.4225.2 CELEG.B0250.9 CINOP.Sp34_50402900.t1 CNIGO.Cni-dhcr-7.1
OG0003679: CBRIG.QX1410.11023.1 CELEG.B0252.1 CINOP.Sp34_20266600.t1 CNIGO.Cni-B0252.1.1
OG0003680: CBRIG.QX1410.11019.1 CELEG.B0252.2 CINOP.Sp34_20267100.t1 CNIGO.Cni-asm-1
OG0003681: CBRIG.QX1410.11020.1 CELEG.B0252.4b CINOP.Sp34_20267000.t1 CNIGO.Cni-cyn-10
OG0003682: CBRIG.QX1410.11022.1 CELEG.B0252.5 CINOP.Sp34_20266810.t1 CNIGO.Cni-B0252.5
OG0003683: CBRIG.QX1410.11021.1 CELEG.B0252.8 CINOP.Sp34_20266900.t1 CNIGO.Cni-B0252.8.1
OG0003684: CBRIG.QX1410.15388.1 CELEG.B0261.4a CINOP.Sp34_10277800.t1 CNIGO.Cni-mrpl-47.1
OG0003685: CBRIG.QX1410.16586.1 CELEG.B0272.2 CINOP.Sp34_X0054800.t1 CNIGO.Cni-memb-1
OG0003686: CBRIG.QX1410.16584.1 CELEG.B0272.3 CINOP.Sp34_X0054500.t1 CNIGO.Cnig_chr_X.g22591
OG0003687: CBRIG.QX1410.16582.1 CELEG.B0272.4 CINOP.Sp34_X0054400.t1 CNIGO.Cni-B0272.4
OG0003688: CBRIG.QX1410.5213.2 CELEG.B0273.4c CINOP.Sp34_40329700.t1 CNIGO.Cni-unc-5
OG0003689: CBRIG.QX1410.8850.1 CELEG.B0280.1a CINOP.Sp34_30241110.t1 CNIGO.Cni-ggtb-1
OG0003690: CBRIG.QX1410.8845.1 CELEG.B0280.3 CINOP.Sp34_30241610.t1 CNIGO.Cni-rpia-1.1
OG0003691: CBRIG.QX1410.8840.1 CELEG.B0280.4 CINOP.Sp34_30242500.t1 CNIGO.Cni-odd-1
OG0003692: CBRIG.QX1410.8842.1 CELEG.B0280.7 CINOP.Sp34_30242300.t1 CNIGO.Cni-B0280.7
OG0003693: CBRIG.QX1410.8843.2 CELEG.B0280.8 CINOP.Sp34_30242200.t1 CNIGO.Cni-nhr-10
OG0003694: CBRIG.QX1410.8844.1 CELEG.B0280.9 CINOP.Sp34_30241700.t1 CNIGO.Cni-B0280.9
OG0003695: CBRIG.QX1410.8571.3 CELEG.B0285.1b CINOP.Sp34_30076500.t1 CNIGO.Cni-cdk-12.1
OG0003696: CBRIG.QX1410.8572.1 CELEG.B0285.3 CINOP.Sp34_30076400.t1 CNIGO.Cni-B0285.3
OG0003697: CBRIG.QX1410.8573.1 CELEG.B0285.4 CINOP.Sp34_30076300.t1 CNIGO.Cni-B0285.4
OG0003698: CBRIG.QX1410.8574.3 CELEG.B0285.6 CINOP.Sp34_30076120.t1 CNIGO.Cni-B0285.6.1
OG0003699: CBRIG.QX1410.8575.1 CELEG.B0285.7 CINOP.Sp34_30076110.t1 CNIGO.Cni-mnp-1
OG0003700: CBRIG.QX1410.10469.1 CELEG.B0286.2a CINOP.Sp34_20234310.t1 CNIGO.Cni-lat-2.1
OG0003701: CBRIG.QX1410.10472.1 CELEG.B0286.3 CINOP.Sp34_20234600.t1 CNIGO.Cni-pacs-1.1
OG0003702: CBRIG.QX1410.10475.1 CELEG.B0286.5 CINOP.Sp34_20234900.t1 CNIGO.Cni-fkh-6
OG0003703: CBRIG.QX1410.10471.1 CELEG.B0286.6 CINOP.Sp34_20234500.t1 CNIGO.Cni-try-9.1
OG0003705: CBRIG.QX1410.16714.1 CELEG.B0302.5 CINOP.Sp34_X0034600.t1 CNIGO.Cni-B0302.5
OG0003706: CBRIG.QX1410.10107.1 CELEG.B0303.11b CINOP.Sp34_30273700.t1 CNIGO.Cni-B0303.11
OG0003707: CBRIG.QX1410.10109.1 CELEG.B0303.15 CINOP.Sp34_30274400.t1 CNIGO.Cni-mrpl-11
OG0003708: CBRIG.QX1410.10135.1 CELEG.B0303.2 CINOP.Sp34_30285700.t1 CNIGO.Cni-anmt-1
OG0003709: CBRIG.QX1410.9427.1 CELEG.B0303.3 CINOP.Sp34_30285800.t1 CNIGO.Cni-B0303.3
OG0003710: CBRIG.QX1410.9426.1 CELEG.B0303.4 CINOP.Sp34_30285910.t1 CNIGO.Cni-B0303.4
OG0003711: CBRIG.QX1410.9425.2 CELEG.B0303.7a CINOP.Sp34_30286000.t1 CNIGO.Cni-B0303.7
OG0003712: CBRIG.QX1410.10106.1 CELEG.B0303.9 CINOP.Sp34_30273600.t1 CNIGO.Cni-vps-33.1
OG0003713: CBRIG.QX1410.10501.3 CELEG.B0304.1b CINOP.Sp34_20230500.t1 CNIGO.Cni-hlh-1
OG0003714: CBRIG.QX1410.10503.1 CELEG.B0304.2 CINOP.Sp34_20230300.t1 CNIGO.Cni-B0304.2
OG0003715: CBRIG.QX1410.10500.1 CELEG.B0304.3 CINOP.Sp34_20230600.t1 CNIGO.Cni-cyp-23A1.1
OG0003716: CBRIG.QX1410.10502.1 CELEG.B0304.4 CINOP.Sp34_20230400.t1 CNIGO.Cni-B0304.4
OG0003717: CBRIG.QX1410.10495.1 CELEG.B0304.5 CINOP.Sp34_20229900.t1 CNIGO.Cni-sra-32.1
OG0003719: CBRIG.QX1410.16231.1 CELEG.B0310.1b CINOP.Sp34_X0021100.t1 CNIGO.Cni-B0310.1
OG0003720: CBRIG.QX1410.16233.2 CELEG.B0310.3 CINOP.Sp34_X0020900.t1 CNIGO.Cni-B0310.3
OG0003721: CBRIG.QX1410.3055.1 CELEG.B0331.2 CINOP.Sp34_50252500.t1 CNIGO.Cni-pitr-4
OG0003722: CBRIG.QX1410.11586.1 CELEG.B0334.1 CINOP.Sp34_20328710.t1 CNIGO.Cni-ttr-18
OG0003723: CBRIG.QX1410.11590.2 CELEG.B0334.11a CINOP.Sp34_20328200.t1 CNIGO.Cni-ooc-3
OG0003724: CBRIG.QX1410.11588.1 CELEG.B0334.13 CINOP.Sp34_20328600.t1 CNIGO.Cni-B0334.13
OG0003725: CBRIG.QX1410.11585.1 CELEG.B0334.2 CINOP.Sp34_20328800.t1 CNIGO.Cni-twk-5
OG0003726: CBRIG.QX1410.11589.1 CELEG.B0334.3a CINOP.Sp34_20328300.t1 CNIGO.Cni-B0334.3
OG0003727: CBRIG.QX1410.11591.3 CELEG.B0334.5 CINOP.Sp34_20328010.t1 CNIGO.Cni-B0334.5
OG0003728: CBRIG.QX1410.11592.1 CELEG.B0334.6 CINOP.Sp34_20327710.t1 CNIGO.Cni-B0334.6
OG0003729: CBRIG.QX1410.11594.4 CELEG.B0334.8a CINOP.Sp34_20327500.t1 CNIGO.Cni-age-1.1
OG0003730: CBRIG.QX1410.8068.3 CELEG.B0336.11a CINOP.Sp34_30135900.t1 CNIGO.Cni-hpo-28
OG0003731: CBRIG.QX1410.8073.1 CELEG.B0336.13 CINOP.Sp34_30130100.t1 CNIGO.Cni-B0336.13
OG0003732: CBRIG.QX1410.8066.2 CELEG.B0336.2 CINOP.Sp34_30136110.t1 CNIGO.Cnig_chr_III.g9409
OG0003733: CBRIG.QX1410.8067.1 CELEG.B0336.3c CINOP.Sp34_30136000.t1 CNIGO.Cni-B0336.3.1
OG0003734: CBRIG.QX1410.8070.1 CELEG.B0336.4a CINOP.Sp34_30135500.t1 CNIGO.Cni-rgs-5
OG0003735: CBRIG.QX1410.8074.1 CELEG.B0336.5b CINOP.Sp34_30130200.t1 CNIGO.Cni-B0336.5
OG0003736: CBRIG.QX1410.8075.1 CELEG.B0336.6 CINOP.Sp34_30130300.t1 CNIGO.Cni-abi-1
OG0003737: CBRIG.QX1410.8072.1 CELEG.B0336.7a CINOP.Sp34_30135310.t1 CNIGO.Cni-B0336.7
OG0003738: CBRIG.QX1410.8071.1 CELEG.B0336.8 CINOP.Sp34_30135400.t1 CNIGO.Cni-lgg-3
OG0003739: CBRIG.QX1410.8069.1 CELEG.B0336.9d CINOP.Sp34_30135700.t1 CNIGO.Cni-swp-1
OG0003740: CBRIG.QX1410.16352.1 CELEG.B0344.2 CINOP.Sp34_X0026100.t1 CNIGO.Cni-wrt-9.1
OG0003741: CBRIG.QX1410.1394.5 CELEG.B0348.4d CINOP.Sp34_50004100.t1 CNIGO.Cni-egl-8.2
OG0003742: CBRIG.QX1410.1391.1 CELEG.B0348.5a CINOP.Sp34_50003700.t1 CNIGO.Cni-B0348.5.1
OG0003743: CBRIG.QX1410.1392.1 CELEG.B0348.6b CINOP.Sp34_50003800.t1 CNIGO.Cni-ife-3
OG0003744: CBRIG.QX1410.7375.1 CELEG.B0353.1b CINOP.Sp34_30335210.t1 CNIGO.Cni-Y55B1AL.1
OG0003745: CBRIG.QX1410.10112.1 CELEG.B0361.10 CINOP.Sp34_30034100.t1 CNIGO.Cni-ykt-6.1
OG0003746: CBRIG.QX1410.10114.1 CELEG.B0361.2a CINOP.Sp34_30034310.t1 CNIGO.Cni-B0361.2
OG0003747: CBRIG.QX1410.9720.1 CELEG.B0361.3 CINOP.Sp34_30033900.t1 CNIGO.Cni-B0361.3
OG0003748: CBRIG.QX1410.10150.2 CELEG.B0361.4 CINOP.Sp34_30033200.t1 CNIGO.Cni-B0361.4.1
OG0003749: CBRIG.QX1410.10111.1 CELEG.B0361.7 CINOP.Sp34_30034010.t1 CNIGO.Cni-pho-5
OG0003750: CBRIG.QX1410.10113.2 CELEG.B0361.8 CINOP.Sp34_30034200.t1 CNIGO.Cni-algn-11
OG0003751: CBRIG.QX1410.10115.2 CELEG.B0361.9 CINOP.Sp34_30034400.t1 CNIGO.Cni-B0361.9
OG0003752: CBRIG.QX1410.2510.4 CELEG.B0365.3 CINOP.Sp34_50273700.t1 CNIGO.Cni-eat-6.1
OG0003753: CBRIG.QX1410.2514.1 CELEG.B0365.7 CINOP.Sp34_50272500.t1 CNIGO.Cni-dhc-3
OG0003754: CBRIG.QX1410.2511.1 CELEG.B0365.9 CINOP.Sp34_50273300.t1 CNIGO.Cnig_chr_V.g19624
OG0003755: CBRIG.QX1410.14269.1 CELEG.B0379.1a CINOP.Sp34_10057710.t1 CNIGO.Cni-B0379.1
OG0003756: CBRIG.QX1410.14205.3 CELEG.B0379.4b CINOP.Sp34_10180910.t1 CNIGO.Cni-scpl-1
OG0003757: CBRIG.QX1410.8658.2 CELEG.B0393.1 CINOP.Sp34_30064700.t1 CNIGO.Cni-rps-0
OG0003758: CBRIG.QX1410.8659.1 CELEG.B0393.2 CINOP.Sp34_30064600.t1 CNIGO.Cni-rbg-3
OG0003759: CBRIG.QX1410.8661.1 CELEG.B0393.3 CINOP.Sp34_30064500.t1 CNIGO.Cni-B0393.3
OG0003760: CBRIG.QX1410.8662.1 CELEG.B0393.4 CINOP.Sp34_30064400.t1 CNIGO.Cni-B0393.4
OG0003761: CBRIG.QX1410.8665.2 CELEG.B0393.5 CINOP.Sp34_30063100.t1 CNIGO.Cni-B0393.5.1
OG0003762: CBRIG.QX1410.8668.3 CELEG.B0393.6 CINOP.Sp34_30062600.t1 CNIGO.Cni-B0393.6.1
OG0003763: CBRIG.QX1410.8666.1 CELEG.B0393.7 CINOP.Sp34_30063000.t1 CNIGO.Cni-B0393.7
OG0003765: CBRIG.QX1410.8667.1 CELEG.B0393.9b CINOP.Sp34_30062700.t1 CNIGO.Cni-B0393.9
OG0003766: CBRIG.QX1410.16361.1 CELEG.B0395.1 CINOP.Sp34_X0039100.t1 CNIGO.Cni-nhx-1.1
OG0003767: CBRIG.QX1410.16362.1 CELEG.B0395.2 CINOP.Sp34_X0039200.t1 CNIGO.Cni-mboa-1
OG0003768: CBRIG.QX1410.16363.2 CELEG.B0395.3 CINOP.Sp34_X0039300.t1 CNIGO.Cni-B0395.3
OG0003769: CBRIG.QX1410.4303.2 CELEG.B0399.1a CINOP.Sp34_50410000.t1 CNIGO.Cni-kcnl-1.2
OG0003770: CBRIG.QX1410.18349.1 CELEG.B0403.2 CINOP.Sp34_X0199000.t1 CNIGO.Cni-ubc-17
OG0003771: CBRIG.QX1410.18351.2 CELEG.B0403.3 CINOP.Sp34_X0199200.t1 CNIGO.Cni-B0403.3.1
OG0003772: CBRIG.QX1410.18352.1 CELEG.B0403.4 CINOP.Sp34_X0199300.t1 CNIGO.Cni-pdi-6
OG0003773: CBRIG.QX1410.18350.1 CELEG.B0403.5 CINOP.Sp34_X0199100.t1 CNIGO.Cni-B0403.5.1
OG0003774: CBRIG.QX1410.18353.2 CELEG.B0403.6 CINOP.Sp34_X0199400.t1 CNIGO.Cni-B0403.6
OG0003775: CBRIG.QX1410.16904.2 CELEG.B0410.2a CINOP.Sp34_X0095300.t1 CNIGO.Cni-vang-1.2
OG0003776: CBRIG.QX1410.16903.1 CELEG.B0410.3 CINOP.Sp34_X0095220.t1 CNIGO.Cni-B0410.3
OG0003777: CBRIG.QX1410.7363.2 CELEG.B0412.1a CINOP.Sp34_30331100.t1 CNIGO.Cni-dac-1.1
OG0003778: CBRIG.QX1410.7364.1 CELEG.B0412.2 CINOP.Sp34_30330900.t1 CNIGO.Cni-daf-7
OG0003779: CBRIG.QX1410.7365.2 CELEG.B0412.3a CINOP.Sp34_30330800.t1 CNIGO.Cni-trpp-11.1
OG0003781: CBRIG.QX1410.14034.1 CELEG.B0414.2 CINOP.Sp34_10296500.t1 CNIGO.Cni-rnt-1.2
OG0003782: CBRIG.QX1410.14035.1 CELEG.B0414.5 CINOP.Sp34_10296400.t1 CNIGO.Cni-cpb-3.1
OG0003783: CBRIG.QX1410.14041.1 CELEG.B0414.7b CINOP.Sp34_10295800.t1 CNIGO.Cni-mtk-1.1
OG0003784: CBRIG.QX1410.14039.1 CELEG.B0414.8a CINOP.Sp34_10295900.t1 CNIGO.Cni-vps-51
OG0003785: CBRIG.QX1410.16563.1 CELEG.B0416.11 CINOP.Sp34_X0052500.t1 CNIGO.Cni-B0416.11
OG0003786: CBRIG.QX1410.16569.1 CELEG.B0416.1a CINOP.Sp34_X0053100.t1 CNIGO.Cni-tmc-2
OG0003787: CBRIG.QX1410.16564.1 CELEG.B0416.3 CINOP.Sp34_X0052600.t1 CNIGO.Cni-B0416.3
OG0003788: CBRIG.QX1410.16565.1 CELEG.B0416.6 CINOP.Sp34_X0052700.t1 CNIGO.Cnig_chr_X.g22571.2
OG0003789: CBRIG.QX1410.16567.1 CELEG.B0416.7a CINOP.Sp34_X0052800.t1 CNIGO.Cni-B0416.7
OG0003791: CBRIG.QX1410.13263.2 CELEG.B0432.13 CINOP.Sp34_20001100.t1 CNIGO.Cni-B0432.13.2
OG0003792: CBRIG.QX1410.13260.1 CELEG.B0432.14a CINOP.Sp34_20000800.t1 CNIGO.Cni-B0432.14
OG0003793: CBRIG.QX1410.13265.1 CELEG.B0432.3 CINOP.Sp34_20001500.t1 CNIGO.Cni-mrpl-41.1
OG0003794: CBRIG.QX1410.13264.1 CELEG.B0432.4 CINOP.Sp34_20001400.t1 CNIGO.Cni-misc-1
OG0003795: CBRIG.QX1410.13259.1 CELEG.B0432.5a CINOP.Sp34_20010810.t1 CNIGO.Cni-cat-2.1
OG0003796: CBRIG.QX1410.13261.1 CELEG.B0432.7a CINOP.Sp34_20000900.t1 CNIGO.Cni-B0432.7.2
OG0003797: CBRIG.QX1410.13262.1 CELEG.B0432.8 CINOP.Sp34_20001000.t1 CNIGO.Cni-B0432.8.2
OG0003798: CBRIG.QX1410.12457.1 CELEG.B0454.1 CINOP.Sp34_20045120.t1 CNIGO.nigoni.pc_2016.07.11_020.g28282
OG0003799: CBRIG.QX1410.12462.1 CELEG.B0454.26 CINOP.Sp34_20045000.t1 CNIGO.Cni-B0454.26.1
OG0003800: CBRIG.QX1410.12463.1 CELEG.B0454.6 CINOP.Sp34_20044900.t1 CNIGO.nigoni.pc_2016.07.11_020.g28286
OG0003801: CBRIG.QX1410.11306.1 CELEG.B0457.1a CINOP.Sp34_20307800.t1 CNIGO.Cni-lat-1.1
OG0003802: CBRIG.QX1410.11304.1 CELEG.B0457.2 CINOP.Sp34_20307600.t1 CNIGO.Cni-B0457.2
OG0003803: CBRIG.QX1410.11305.1 CELEG.B0457.6 CINOP.Sp34_20307700.t1 CNIGO.Cni-B0457.6
OG0003804: CBRIG.QX1410.9286.1 CELEG.B0464.1 CINOP.Sp34_30192900.t1 CNIGO.Cni-dars-1.1
OG0003805: CBRIG.QX1410.9285.3 CELEG.B0464.2a CINOP.Sp34_30193000.t1 CNIGO.Cni-ctr-9.1
OG0003806: CBRIG.QX1410.9287.1 CELEG.B0464.3 CINOP.Sp34_30192800.t1 CNIGO.Cni-nlp-36.2
